"Region.Label","Region.Area","Line.Transect.Label","Line.Transect.Line.Length","Observation.Perp.Distance","Observation.Habitat"
"offshore","60,051","L4",73,NA,"offshore"
"offshore","60,051","L5",105.5,NA,"offshore"
"offshore","60,051","L6",168.5,NA,"offshore"
"offshore","60,051","L7",173,NA,"offshore"
"offshore","60,051","L8",179,3.2,"offshore"
"offshore","60,051","L8",179,3.8,"offshore"
"offshore","60,051","L8",179,0.69,"offshore"
"offshore","60,051","L8",179,0.71,"offshore"
"offshore","60,051","L9",194.65,1.4,"offshore"
"offshore","60,051","L9",194.65,3.4,"offshore"
"offshore","60,051","L9",194.65,4.6,"offshore"
"offshore","60,051","L10",192,3.4,"offshore"
"seamount","45,377","L13",105,NA,"seamount"
"seamount","45,377","L14",108.26,NA,"seamount"
"seamount","45,377","L15",107.99,NA,"seamount"
"seamount","45,377","L16",108.4,0.8,"seamount"
"seamount","45,377","L16",108.4,1.1,"seamount"
"seamount","45,377","L17",108.4,1.8,"seamount"
"seamount","45,377","L18",107.9,NA,"seamount"
"seamount","45,377","L19",79.6,1,"seamount"
"seamount","45,377","L19",79.6,1.7,"seamount"
"seamount","45,377","L20",68,0.44,"seamount"
"seamount","45,377","L20",68,0.93,"seamount"
"seamount","45,377","L20",68,0.96,"seamount"
"seamount","45,377","L20",68,0.3,"seamount"
"seamount","45,377","L21",61.1,NA,"seamount"
"seamount","45,377","L22",80,NA,"seamount"
"seamount","45,377","L23",109.2,NA,"seamount"
"seamount","45,377","L24",75.8,3.15,"seamount"
"seamount","45,377","L26",108.8,1.165,"seamount"
"seamount","45,377","L26",108.8,1.56,"seamount"
"seamount","45,377","L27",87,NA,"seamount"
"seamount","45,377","L28",107.2,NA,"seamount"
"seamount","45,377","L29",82,NA,"seamount"
"seamount","45,377","L30",77.1,NA,"seamount"
"seamount","45,377","L31",89,NA,"seamount"
"seamount","45,377","L32",105.6,3.48,"seamount"
"seamount","45,377","L32",105.6,3.35,"seamount"
"seamount","45,377","L32",105.6,2.1,"seamount"
"seamount","45,377","L33",104.3,3.8,"seamount"
"seamount","45,377","L33",104.3,1.6,"seamount"
"seamount","45,377","L33",104.3,1.5,"seamount"
"seamount","45,377","L34",103.2,1.38,"seamount"
"seamount","45,377","L35",102.6,3.68,"seamount"
"seamount","45,377","L35",102.6,2.99,"seamount"
"seamount","45,377","L35",102.6,1.99,"seamount"
"seamount","45,377","L35",102.6,5.65,"seamount"
"seamount","45,377","L35",102.6,7.1,"seamount"
"seamount","45,377","L35",102.6,3.9,"seamount"
"seamount","45,377","L36",111,4.59,"seamount"
"seamount","45,377","L36",111,2.98,"seamount"
"seamount","45,377","L36",111,3,"seamount"
"seamount","45,377","L37",108.13,NA,"seamount"
"seamount","45,377","L38",51.09,NA,"seamount"
